survey_id,average_time_spent_on_unpaid_domestic_and_care_work,proficiency_in_numeracy,proficiency_in_literacy,below_poverty_line,employment_status,survey_year,takes_by_personal_id
104,27,1,0,1,unemployed,2019,104
105,13,0,0,1,unemployed,2019,105
106,17,1,1,1,employed,2019,106
107,6,1,1,1,employed,2019,107
108,10,1,0,0,employed,2019,108
109,12,1,0,1,employed,2019,109
110,4,1,1,1,unemployed,2019,110
111,20,1,0,0,employed,2019,111
112,13,1,1,1,employed,2019,112
113,5,1,1,1,unemployed,2019,113
114,38,1,1,1,below_minimum_legal_work_age,2019,114
115,7,0,1,1,unemployed,2019,115
116,6,1,1,1,unemployed,2019,116
117,38,0,1,1,unemployed,2019,117
118,9,1,1,1,employed,2019,118
119,9,0,0,1,below_minimum_legal_work_age,2019,119
120,28,0,0,1,employed,2019,120
121,4,1,1,1,employed,2019,121
122,10,0,0,1,employed,2019,122
123,8,1,1,1,employed,2019,123
124,8,1,1,1,employed,2019,124
125,5,1,0,1,employed,2019,125
126,5,1,1,1,employed,2019,126
127,12,1,1,1,unemployed,2019,127
128,20,1,1,0,employed,2019,128
129,20,1,1,0,employed,2019,129
130,11,1,1,0,employed,2019,130
131,20,1,1,1,unemployed,2019,131
132,20,1,1,1,unemployed,2019,132
133,11,1,1,1,employed,2019,133
134,13,1,0,1,employed,2019,134
135,12,1,0,1,employed,2019,135
136,9,0,1,1,employed,2019,136
137,29,1,1,1,unemployed,2019,137
138,11,1,0,1,unemployed,2019,138
139,5,1,1,1,employed,2019,139
140,6,0,1,1,below_minimum_legal_work_age,2019,140
141,23,1,1,0,unemployed,2019,141
142,8,1,1,0,below_minimum_legal_work_age,2019,142
143,11,1,1,1,unemployed,2019,143
144,11,0,1,1,employed,2019,144
145,10,1,0,1,unemployed,2019,145
146,20,0,1,1,unemployed,2019,146
147,36,1,0,1,employed,2019,147
148,34,1,0,1,employed,2019,148
149,10,1,1,0,employed,2019,149
150,12,1,0,1,unemployed,2019,150
151,13,1,1,0,employed,2019,151
152,15,1,1,1,employed,2019,152
153,10,1,1,1,employed,2019,153
154,37,1,1,1,employed,2019,154
155,40,1,0,1,unemployed,2019,155
156,7,1,1,1,unemployed,2019,156
157,32,1,0,1,unemployed,2019,157
158,18,1,1,1,employed,2019,158
159,12,1,0,1,employed,2019,159
160,38,1,0,0,employed,2019,160
161,8,1,0,1,unemployed,2019,161
162,12,1,0,1,unemployed,2019,162
163,37,1,1,1,below_minimum_legal_work_age,2019,163
164,9,0,0,1,unemployed,2019,164
165,19,0,1,1,employed,2019,165
166,18,1,1,0,employed,2019,166
167,23,0,1,1,unemployed,2019,167
168,32,1,0,1,employed,2019,168
169,25,0,0,0,employed,2019,169
170,27,1,1,1,employed,2019,170
171,7,0,1,1,employed,2019,171
172,29,0,1,1,unemployed,2019,172
173,20,0,1,1,unemployed,2019,173
174,6,1,1,1,employed,2019,174
175,13,1,1,1,employed,2019,175
176,9,0,1,1,employed,2019,176
177,36,0,1,0,employed,2019,177
178,12,1,1,1,unemployed,2019,178
179,11,1,1,1,employed,2019,179
180,39,1,1,1,unemployed,2019,180
181,34,1,0,1,employed,2019,181
182,35,1,1,1,employed,2019,182
183,9,1,1,1,employed,2019,183
184,9,1,0,0,employed,2019,184
185,10,0,1,1,unemployed,2019,185
186,15,1,1,1,unemployed,2019,186
187,15,0,0,1,employed,2019,187
188,35,1,1,0,employed,2019,188
189,10,0,1,0,unemployed,2019,189
190,13,1,1,1,unemployed,2019,190
191,23,0,1,1,unemployed,2019,191
192,11,0,1,0,employed,2019,192
193,22,0,1,0,employed,2019,193
194,11,1,1,1,employed,2019,194
195,5,1,1,1,employed,2019,195
196,11,1,0,1,employed,2019,196
197,8,1,1,1,employed,2019,197
198,18,1,1,1,employed,2019,198
199,20,1,1,1,unemployed,2019,199
200,20,1,1,1,below_minimum_legal_work_age,2019,200
201,12,0,1,1,employed,2020,201
202,9,0,0,1,unemployed,2020,202
203,6,1,1,1,employed,2020,203
204,11,1,1,0,employed,2020,204
205,7,1,0,1,unemployed,2020,205
206,20,1,1,1,unemployed,2020,206
207,15,1,0,1,below_minimum_legal_work_age,2020,207
208,8,0,0,1,unemployed,2020,208
209,32,0,1,0,below_minimum_legal_work_age,2020,209
210,10,1,1,1,employed,2020,210
211,21,1,0,1,employed,2020,211
212,6,1,1,1,below_minimum_legal_work_age,2020,212
213,8,0,0,0,unemployed,2020,213
214,37,0,1,1,unemployed,2020,214
215,28,1,0,1,employed,2020,215
216,13,0,0,0,employed,2020,216
217,4,0,0,1,employed,2020,217
218,13,1,0,0,unemployed,2020,218
219,27,1,1,1,employed,2020,219
220,20,1,1,1,employed,2020,220
221,20,1,1,1,employed,2020,221
222,17,1,0,1,unemployed,2020,222
223,13,1,1,1,employed,2020,223
224,36,1,1,0,below_minimum_legal_work_age,2020,224
225,9,0,0,1,below_minimum_legal_work_age,2020,225
226,26,1,1,1,employed,2020,226
227,11,1,0,1,unemployed,2020,227
228,6,1,0,1,employed,2020,228
229,30,1,1,1,employed,2020,229
230,9,1,1,1,unemployed,2020,230
231,4,1,0,1,employed,2020,231
232,9,1,0,1,employed,2020,232
233,5,1,0,0,employed,2020,233
234,29,1,0,1,employed,2020,234
235,28,1,1,1,employed,2020,235
236,30,0,1,1,employed,2020,236
237,6,1,0,1,employed,2020,237
238,6,1,1,1,unemployed,2020,238
239,10,1,0,0,employed,2020,239
240,37,1,1,0,unemployed,2020,240
241,12,1,1,1,employed,2020,241
242,38,1,0,1,unemployed,2020,242
243,13,1,0,0,employed,2020,243
244,39,1,1,1,employed,2020,244
245,10,1,0,1,unemployed,2020,245
246,6,0,1,1,unemployed,2020,246
247,7,1,0,1,employed,2020,247
248,13,1,1,1,unemployed,2020,248
249,7,1,0,0,employed,2020,249
250,8,1,1,0,unemployed,2020,250
251,13,1,0,1,below_minimum_legal_work_age,2020,251
252,18,1,1,1,unemployed,2020,252
253,18,0,1,1,unemployed,2020,253
254,39,1,1,1,employed,2020,254
255,4,1,1,1,employed,2020,255
256,13,1,0,1,employed,2020,256
257,24,1,1,0,employed,2020,257
258,20,0,1,0,employed,2020,258
259,13,0,1,1,employed,2020,259
260,13,1,0,0,below_minimum_legal_work_age,2020,260
261,8,1,1,1,employed,2020,261
262,40,0,1,1,unemployed,2020,262
263,11,1,0,1,unemployed,2020,263
264,5,0,1,1,below_minimum_legal_work_age,2020,264
265,6,1,0,1,employed,2020,265
266,26,0,0,1,employed,2020,266
267,33,1,1,0,employed,2020,267
268,12,1,0,1,employed,2020,268
269,36,1,1,0,employed,2020,269
270,34,1,1,1,unemployed,2020,270
271,12,1,1,0,employed,2020,271
272,39,1,1,1,employed,2020,272
273,39,0,1,1,employed,2020,273
274,13,1,1,1,employed,2020,274
275,17,0,1,1,unemployed,2020,275
276,38,1,1,1,below_minimum_legal_work_age,2020,276
277,5,1,1,1,unemployed,2020,277
278,23,1,1,1,unemployed,2020,278
279,23,1,0,0,below_minimum_legal_work_age,2020,279
280,25,0,1,0,unemployed,2020,280
281,28,0,1,1,below_minimum_legal_work_age,2020,281
282,4,0,0,1,unemployed,2020,282
283,24,1,0,1,employed,2020,283
284,12,0,0,1,unemployed,2020,284
285,6,1,1,0,unemployed,2020,285
286,7,1,0,1,unemployed,2020,286
287,25,1,1,1,employed,2020,287
288,12,0,1,0,below_minimum_legal_work_age,2020,288
289,23,1,0,1,employed,2020,289
290,5,1,1,1,unemployed,2020,290
291,20,1,1,1,unemployed,2020,291
292,22,1,1,1,unemployed,2020,292
293,9,1,1,0,unemployed,2020,293
294,4,0,0,1,employed,2020,294
295,28,1,1,1,unemployed,2020,295
296,33,1,1,1,unemployed,2020,296
297,4,0,0,1,employed,2020,297
298,40,1,1,0,employed,2020,298
299,5,1,1,1,employed,2020,299
300,7,0,1,0,employed,2020,300
301,12,1,0,0,below_minimum_legal_work_age,2020,301
302,20,1,1,1,below_minimum_legal_work_age,2020,302
303,8,1,0,0,employed,2020,303
304,7,1,0,1,unemployed,2020,304
305,35,1,1,1,unemployed,2020,305
306,11,0,1,1,employed,2020,306
307,6,1,0,1,unemployed,2020,307
308,5,1,1,0,employed,2020,308
309,12,1,1,1,unemployed,2020,309
310,26,1,1,0,employed,2020,310
311,31,1,0,1,employed,2020,311
312,35,1,0,1,employed,2020,312
313,13,1,1,1,below_minimum_legal_work_age,2020,313
314,9,1,1,1,employed,2020,314
315,7,1,1,1,employed,2020,315
316,11,0,1,1,employed,2020,316
317,35,1,1,1,unemployed,2020,317
318,23,1,0,0,employed,2020,318
319,22,0,1,1,employed,2020,319
320,12,0,1,0,unemployed,2020,320
321,36,1,0,1,employed,2020,321
322,7,1,1,0,employed,2020,322
323,29,1,0,1,unemployed,2020,323
324,9,1,1,0,employed,2020,324
325,10,1,1,1,employed,2020,325
326,30,1,1,1,employed,2020,326
327,5,1,0,1,unemployed,2020,327
328,32,1,1,1,employed,2020,328
329,20,1,1,1,unemployed,2020,329
330,22,1,1,1,employed,2020,330
331,6,1,0,1,unemployed,2020,331
332,10,0,1,1,employed,2020,332
333,25,1,1,0,employed,2020,333
334,13,0,0,1,unemployed,2020,334
335,17,0,1,1,employed,2020,335
336,4,0,1,1,employed,2020,336
337,39,1,0,1,below_minimum_legal_work_age,2020,337
338,21,1,1,0,unemployed,2020,338
339,33,1,1,1,unemployed,2020,339
340,40,0,1,1,unemployed,2020,340
341,13,1,0,1,employed,2020,341
342,12,1,1,1,employed,2020,342
343,25,1,1,1,unemployed,2020,343
344,13,0,1,1,employed,2020,344
345,5,1,1,1,employed,2020,345
346,12,1,1,1,employed,2020,346
347,10,1,1,1,unemployed,2020,347
348,18,1,1,1,employed,2020,348
349,10,1,1,1,unemployed,2020,349
350,20,0,1,1,unemployed,2020,350
351,14,0,0,1,employed,2020,351
352,39,0,0,1,employed,2020,352
353,17,0,1,1,employed,2020,353
354,6,1,1,1,employed,2020,354
355,6,0,1,1,unemployed,2020,355
356,5,1,1,1,employed,2020,356
357,9,1,0,0,unemployed,2020,357
358,8,0,1,1,employed,2020,358
359,12,0,1,1,below_minimum_legal_work_age,2020,359
360,7,0,1,1,employed,2020,360
361,29,1,1,1,employed,2020,165
362,9,1,0,0,unemployed,2020,69
363,27,1,1,1,employed,2020,19
364,26,1,1,1,employed,2020,73
365,12,1,1,1,employed,2020,196
366,5,1,1,0,employed,2020,151
367,7,1,1,1,unemployed,2020,102
368,8,1,1,1,unemployed,2020,143
369,4,0,0,0,employed,2020,49
370,8,1,1,0,unemployed,2020,89
371,18,1,1,1,employed,2020,27
372,30,1,1,0,employed,2020,51
373,9,0,0,0,employed,2020,76
374,9,1,1,1,employed,2020,123
375,10,1,1,0,employed,2020,80
376,25,1,1,0,employed,2020,106
377,21,1,1,0,employed,2020,31
378,8,1,1,0,employed,2020,95
379,20,1,1,0,employed,2020,187
380,9,1,1,1,unemployed,2020,135
381,10,1,0,0,below minimum working age,2020,11
382,13,0,1,0,employed,2020,79
383,9,1,1,0,employed,2020,162
384,19,1,0,0,employed,2020,148
385,23,1,1,0,unemployed,2020,43
386,39,1,1,0,employed,2020,166
387,30,1,1,0,unemployed,2020,20
388,31,1,1,1,employed,2020,41
389,35,0,1,1,unemployed,2020,91
390,19,1,1,1,employed,2020,182
391,35,1,1,0,employed,2020,25
392,9,1,1,1,employed,2020,7
393,30,1,1,0,employed,2020,36
394,37,1,1,0,employed,2020,67
395,10,1,1,1,unemployed,2020,92
396,25,1,1,1,unemployed,2020,39
397,29,1,1,0,unemployed,2020,101
398,12,1,1,0,below minimum working age,2020,13
399,32,1,1,0,employed,2020,21
400,10,1,0,0,employed,2020,184
401,5,1,1,1,employed,2021,361
402,10,0,1,0,employed,2021,362
403,21,0,0,0,below_minimum_legal_work_age,2021,363
404,32,0,1,0,employed,2021,364
405,8,1,1,0,unemployed,2021,365
406,10,1,0,1,employed,2021,366
407,15,0,1,1,employed,2021,367
408,7,0,1,0,employed,2021,368
409,16,1,1,1,employed,2021,369
410,39,1,1,1,unemployed,2021,370
411,8,1,1,1,employed,2021,371
412,21,1,1,1,unemployed,2021,372
413,15,1,0,1,below_minimum_legal_work_age,2021,373
414,11,1,0,1,employed,2021,374
415,8,1,1,0,unemployed,2021,375
416,13,1,1,1,employed,2021,376
417,13,1,1,0,employed,2021,377
418,20,1,1,0,below_minimum_legal_work_age,2021,378
419,5,1,1,1,employed,2021,379
420,11,0,1,1,unemployed,2021,380
421,17,1,0,1,employed,2021,381
422,6,0,1,1,unemployed,2021,382
423,10,1,1,1,unemployed,2021,383
424,11,1,1,1,employed,2021,384
425,10,1,1,1,below_minimum_legal_work_age,2021,385
426,37,0,1,1,unemployed,2021,386
427,5,1,1,1,employed,2021,387
428,5,1,1,1,unemployed,2021,388
429,12,1,0,1,employed,2021,389
430,14,1,1,1,employed,2021,390
431,4,1,1,1,unemployed,2021,391
432,17,1,0,0,employed,2021,392
433,12,1,0,0,employed,2021,393
434,11,1,0,1,employed,2021,394
435,5,1,1,1,employed,2021,395
436,31,1,0,1,employed,2021,396
437,33,0,0,1,employed,2021,397
438,30,1,1,0,unemployed,2021,398
439,7,1,1,1,below_minimum_legal_work_age,2021,399
440,11,1,0,1,employed,2021,400
441,10,1,1,1,employed,2021,401
442,5,1,0,0,employed,2021,402
443,33,1,1,0,employed,2021,403
444,7,0,1,1,employed,2021,404
445,24,0,0,1,unemployed,2021,405
446,8,1,1,1,below_minimum_legal_work_age,2021,406
447,6,0,1,0,unemployed,2021,407
448,16,1,1,1,employed,2021,408
449,4,0,1,1,unemployed,2021,409
450,33,0,0,0,employed,2021,410
451,9,1,1,0,employed,2021,411
452,11,1,1,0,employed,2021,412
453,38,1,1,1,unemployed,2021,413
454,6,1,1,0,unemployed,2021,414
455,22,0,1,1,employed,2021,415
456,31,1,0,1,unemployed,2021,416
457,31,1,1,0,employed,2021,417
458,10,1,1,0,employed,2021,418
459,31,1,1,1,employed,2021,419
460,26,1,1,1,employed,2021,420
461,12,1,1,1,unemployed,2021,421
462,10,0,1,1,employed,2021,422
463,10,1,0,1,unemployed,2021,423
464,10,1,1,1,unemployed,2021,424
465,7,0,1,1,employed,2021,425
466,19,0,1,0,employed,2021,426
467,11,1,1,1,unemployed,2021,427
468,28,1,0,1,unemployed,2021,428
469,7,1,1,1,employed,2021,429
470,13,0,1,1,employed,2021,430
471,5,0,1,1,employed,2021,431
472,21,1,1,1,employed,2021,432
473,7,1,0,1,employed,2021,433
474,7,1,1,1,unemployed,2021,434
475,20,1,0,0,employed,2021,435
476,31,1,0,1,employed,2021,436
477,8,0,1,0,below_minimum_legal_work_age,2021,437
478,4,1,1,1,below_minimum_legal_work_age,2021,438
479,6,1,1,0,employed,2021,439
480,11,1,1,0,employed,2021,440
481,30,1,0,0,unemployed,2021,441
482,12,1,0,0,unemployed,2021,442
483,20,1,0,1,employed,2021,443
484,19,1,1,1,unemployed,2021,444
485,37,1,1,0,below_minimum_legal_work_age,2021,445
486,18,0,0,0,employed,2021,446
487,11,0,1,1,employed,2021,447
488,5,1,0,1,unemployed,2021,448
489,36,1,1,1,employed,2021,449
490,11,1,0,0,employed,2021,450
491,26,0,0,0,employed,2021,451
492,10,1,0,1,employed,2021,452
493,22,1,0,1,employed,2021,453
494,7,1,1,1,employed,2021,454
495,28,1,1,1,unemployed,2021,455
496,5,1,1,1,employed,2021,456
497,8,1,0,1,below_minimum_legal_work_age,2021,457
498,7,0,0,0,employed,2021,458
499,10,1,1,1,employed,2021,459
500,5,1,1,1,employed,2021,460
501,20,1,1,1,employed,2021,461
502,11,1,1,0,employed,2021,462
503,20,1,1,1,employed,2021,463
504,5,1,1,1,unemployed,2021,464
505,17,0,1,1,employed,2021,465
506,30,1,1,1,employed,2021,466
507,37,0,1,0,employed,2021,467
508,39,1,1,1,employed,2021,468
509,10,1,1,1,unemployed,2021,469
510,16,1,1,1,employed,2021,470
511,38,1,1,1,employed,2021,471
512,15,1,0,1,employed,2021,472
513,25,1,1,1,employed,2021,473
514,12,1,1,1,unemployed,2021,474
515,28,0,1,1,unemployed,2021,475
516,10,1,1,1,below_minimum_legal_work_age,2021,476
517,20,0,1,1,employed,2021,477
518,21,0,1,0,unemployed,2021,478
519,8,1,1,1,employed,2021,479
520,20,1,1,1,employed,2021,480
521,17,0,0,0,employed,2021,481
522,4,1,1,0,employed,2021,482
523,22,1,0,0,unemployed,2021,483
524,5,1,0,1,employed,2021,484
525,10,1,0,1,below_minimum_legal_work_age,2021,485
526,20,1,1,1,unemployed,2021,486
527,20,1,1,1,unemployed,2021,487
528,28,0,1,1,unemployed,2021,488
529,24,1,0,1,below_minimum_legal_work_age,2021,489
530,6,0,1,1,unemployed,2021,490
531,20,1,1,1,unemployed,2021,491
532,18,1,1,0,employed,2021,492
533,9,1,1,1,unemployed,2021,493
534,11,1,0,1,employed,2021,494
535,11,1,0,0,employed,2021,495
536,5,1,1,1,employed,2021,496
537,18,0,1,1,employed,2021,497
538,10,1,1,0,unemployed,2021,498
539,20,1,0,1,employed,2021,499
540,16,1,1,1,unemployed,2021,500
541,11,1,1,0,unemployed,2021,501
542,15,1,0,1,employed,2021,502
543,10,1,1,0,employed,2021,503
544,24,1,1,0,employed,2021,504
545,10,1,0,1,employed,2021,505
546,7,0,0,0,employed,2021,506
547,4,1,0,1,employed,2021,507
548,13,1,0,1,unemployed,2021,508
549,6,1,1,1,unemployed,2021,509
550,30,0,1,1,employed,2021,510
551,21,0,0,0,employed,2021,511
552,13,1,0,0,employed,2021,512
553,4,1,0,1,employed,2021,513
554,9,1,0,1,unemployed,2021,514
555,10,1,0,1,employed,2021,515
556,20,1,0,1,unemployed,2021,516
557,13,0,0,1,employed,2021,517
558,7,1,1,0,unemployed,2021,518
559,7,1,1,1,unemployed,2021,519
560,11,1,1,0,employed,2021,520
561,5,1,1,0,employed,2021,153
562,6,1,1,0,employed,2021,175
563,10,0,1,1,employed,2021,316
564,25,0,1,0,employed,2021,353
565,6,1,1,1,employed,2021,46
566,38,1,1,0,employed,2021,148
567,7,1,0,1,employed,2021,87
568,32,1,1,0,unemployed,2021,219
569,7,1,1,1,employed,2021,179
570,6,1,0,0,unemployed,2021,134
571,31,1,1,0,employed,2021,198
572,6,1,1,1,employed,2021,29
573,6,1,1,0,below minimum working age,2021,13
574,26,1,1,1,unemployed,2021,180
575,6,1,1,0,unemployed,2021,93
576,4,1,1,0,employed,2021,196
577,10,1,1,0,employed,2021,123
578,7,1,1,1,employed,2021,100
579,23,1,0,1,employed,2021,311
580,28,1,1,0,unemployed,2021,117
581,27,1,1,0,employed,2021,21
582,25,1,1,0,employed,2021,204
583,28,1,1,0,unemployed,2021,73
584,26,1,0,0,employed,2021,318
585,11,1,1,0,employed,2021,18
586,10,0,0,0,employed,2021,122
587,7,0,0,0,employed,2021,213
588,7,1,1,1,unemployed,2021,92
589,8,1,1,0,unemployed,2021,99
590,12,1,0,0,employed,2021,14
591,8,0,1,0,below minimum working age,2021,225
592,8,1,1,1,employed,2021,96
593,27,1,1,0,employed,2021,68
594,24,1,1,1,unemployed,2021,158
595,33,1,1,0,employed,2021,236
596,20,0,1,0,below minimum working age,2021,281
597,6,1,1,1,employed,2021,241
598,7,1,1,1,unemployed,2021,135
599,9,1,1,1,employed,2021,124
600,9,1,0,0,employed,2021,268
601,11,1,0,1,employed,2022,521
602,29,1,0,0,unemployed,2022,522
603,6,1,1,1,employed,2022,523
604,13,1,1,1,employed,2022,524
605,10,0,0,1,below_minimum_legal_work_age,2022,525
606,21,1,1,1,unemployed,2022,526
607,40,1,1,1,employed,2022,527
608,7,1,0,1,employed,2022,528
609,23,0,1,1,employed,2022,529
610,8,1,1,0,employed,2022,530
611,10,1,1,1,employed,2022,531
612,7,1,0,0,employed,2022,532
613,15,1,0,1,unemployed,2022,533
614,35,0,1,0,employed,2022,534
615,26,1,0,1,employed,2022,535
616,31,1,1,0,employed,2022,536
617,22,1,1,1,employed,2022,537
618,38,1,1,0,employed,2022,538
619,9,0,1,1,employed,2022,539
620,12,1,1,1,unemployed,2022,540
621,19,1,1,1,unemployed,2022,541
622,7,0,1,1,unemployed,2022,542
623,9,1,1,1,employed,2022,543
624,28,0,1,1,employed,2022,544
625,13,1,1,0,employed,2022,545
626,7,1,1,1,employed,2022,546
627,13,1,1,1,unemployed,2022,547
628,9,1,1,1,employed,2022,548
629,40,1,1,0,below_minimum_legal_work_age,2022,549
630,6,1,1,0,employed,2022,550
631,22,1,1,1,unemployed,2022,551
632,26,0,1,1,employed,2022,552
633,15,1,1,1,employed,2022,553
634,6,0,1,0,employed,2022,554
635,9,1,0,1,unemployed,2022,555
636,19,1,1,1,employed,2022,556
637,16,1,1,1,unemployed,2022,557
638,17,1,1,0,unemployed,2022,558
639,32,1,1,1,unemployed,2022,559
640,14,1,1,1,unemployed,2022,560
641,11,1,1,0,below_minimum_legal_work_age,2022,561
642,33,1,0,1,employed,2022,562
643,13,0,0,0,below_minimum_legal_work_age,2022,563
644,27,1,0,1,unemployed,2022,564
645,6,1,1,0,employed,2022,565
646,5,1,0,0,unemployed,2022,566
647,23,1,1,1,employed,2022,567
648,37,1,0,1,employed,2022,568
649,17,1,1,0,employed,2022,569
650,33,1,1,0,employed,2022,570
651,10,0,0,0,unemployed,2022,571
652,18,1,1,1,unemployed,2022,572
653,4,0,1,0,unemployed,2022,573
654,6,1,1,1,employed,2022,574
655,30,1,1,0,unemployed,2022,575
656,7,1,1,1,employed,2022,576
657,20,1,0,1,employed,2022,577
658,11,1,1,1,employed,2022,578
659,11,1,1,0,employed,2022,579
660,4,1,1,1,unemployed,2022,580
661,30,0,1,1,below_minimum_legal_work_age,2022,581
662,34,1,1,1,employed,2022,582
663,39,0,0,0,employed,2022,583
664,8,1,0,1,unemployed,2022,584
665,10,1,1,1,unemployed,2022,585
666,22,1,1,0,unemployed,2022,586
667,5,0,1,0,employed,2022,587
668,17,1,0,1,unemployed,2022,588
669,11,1,1,1,unemployed,2022,589
670,12,1,0,1,employed,2022,590
671,12,0,1,1,employed,2022,591
672,34,0,1,1,employed,2022,592
673,40,0,0,1,employed,2022,593
674,11,1,1,1,employed,2022,594
675,20,0,1,1,employed,2022,595
676,13,1,0,0,below_minimum_legal_work_age,2022,596
677,23,1,1,1,employed,2022,597
678,20,1,0,1,below_minimum_legal_work_age,2022,598
679,13,1,1,1,unemployed,2022,599
680,32,0,0,1,employed,2022,600
681,10,1,1,1,below_minimum_legal_work_age,2022,601
682,8,1,1,1,below_minimum_legal_work_age,2022,602
683,6,1,0,0,unemployed,2022,603
684,13,1,0,1,employed,2022,604
685,4,1,1,1,unemployed,2022,605
686,30,1,1,1,employed,2022,606
687,13,1,1,1,employed,2022,607
688,7,1,1,1,unemployed,2022,608
689,18,0,0,1,employed,2022,609
690,5,0,0,1,employed,2022,610
691,11,0,1,1,employed,2022,611
692,12,1,1,1,unemployed,2022,612
693,8,1,1,1,unemployed,2022,613
694,10,1,1,1,employed,2022,614
695,24,0,1,1,unemployed,2022,615
696,9,1,1,1,employed,2022,616
697,36,1,0,0,unemployed,2022,617
698,37,1,1,0,employed,2022,618
699,17,1,1,0,employed,2022,619
700,6,1,1,0,employed,2022,620
701,13,1,1,0,employed,2022,621
702,35,0,1,0,employed,2022,622
703,10,1,1,1,unemployed,2022,623
704,20,1,0,1,employed,2022,624
705,20,1,1,1,employed,2022,625
706,9,1,1,0,employed,2022,626
707,21,0,1,0,employed,2022,627
708,10,0,1,0,employed,2022,628
709,20,1,1,1,unemployed,2022,629
710,9,1,1,1,employed,2022,630
711,11,1,1,1,unemployed,2022,631
