personal_id,date_of_birth,sex,lives_in_region_id
276,2008-04-18,female,SSD001
277,1956-02-05,male,SSD001
278,2002-01-04,female,SSD001
279,2008-10-07,female,SSD001
280,1970-09-13,female,SSD001
281,2009-05-05,female,SSD001
282,1953-08-26,male,SSD001
283,1957-01-29,female,SSD001
284,1946-12-17,male,SSD001
285,1986-09-16,male,SSD001
286,1945-02-17,male,SSD001
287,1973-10-27,female,SSD001
288,2003-11-13,female,SSD001
289,1966-07-09,female,SSD001
290,1950-07-14,male,SSD001
291,1953-08-07,female,SSD001
292,1962-08-02,female,SSD001
293,1962-01-06,male,SSD001
294,1985-08-12,male,SSD001
295,1954-09-12,female,SSD001
296,1951-03-14,female,SSD001
297,1959-01-31,male,SSD001
298,1996-12-08,female,SSD001
299,1969-05-17,male,SSD001
300,1968-06-16,male,SSD001
301,2004-06-19,male,SSD001
302,2008-09-14,prefer not to say,SSD001
303,1990-06-06,male,SSD001
304,1985-03-27,male,SSD001
305,1984-07-05,female,SSD001
306,1956-10-08,male,SSD001
307,1954-07-14,male,SSD001
308,1985-06-22,male,SSD001
309,1956-06-10,male,SSD001
310,1979-03-01,female,SSD001
311,1989-05-20,female,SSD001
312,1997-09-10,female,SSD001
313,2004-02-02,female,SSD001
314,1959-11-02,male,SSD001
315,1986-11-15,male,SSD001
316,1991-10-31,male,SSD001
317,1951-03-14,female,SSD001
318,1973-04-03,female,SSD001
319,1991-06-19,female,SSD001
320,1950-09-11,male,SSD001
321,1966-09-06,female,SSD001
322,1975-12-02,male,SSD001
323,1999-04-06,female,SSD001
324,1990-12-12,male,SSD001
325,1965-12-09,male,SSD001
326,1972-05-31,female,SSD001
327,1992-03-18,male,SSD001
328,1967-07-31,female,SSD001
329,1944-07-30,female,SSD001
330,1965-07-23,female,SSD001
331,1979-01-22,male,SSD001
332,1955-05-16,male,SSD001
333,1967-05-22,female,SSD001
334,1946-07-26,male,SSD001
335,1997-12-02,female,SSD001
336,1994-08-23,male,SSD001
337,2003-03-26,female,SSD001
338,2002-12-11,female,SSD001
339,1949-02-10,female,SSD001
340,1953-04-25,female,SSD001
341,1964-10-10,female,SSD001
342,1959-01-21,male,SSD001
343,1951-11-18,female,SSD001
344,1975-11-01,female,SSD001
345,1976-07-07,male,SSD001
346,2001-04-27,male,SSD001
347,1993-08-18,male,SSD001
348,1987-02-05,female,SSD001
349,1962-10-22,male,SSD001
350,1944-10-06,prefer not to say,SSD001
351,1973-02-26,female,SSD001
352,1983-07-02,female,SSD001
353,1975-12-02,female,SSD001
354,1985-03-14,male,SSD001
355,1952-12-30,male,SSD001
356,2001-11-08,male,SSD001
357,1950-01-02,male,SSD001
358,1963-12-29,male,SSD001
359,2004-02-01,female,SSD001
360,1957-01-19,male,SSD001
361,1987-03-27,male,SSD001
362,1958-06-10,male,SSD001
363,2009-06-08,female,SSD001
364,2001-05-31,female,SSD001
365,1948-04-03,male,SSD001
366,1978-05-11,male,SSD001
367,1992-06-04,female,SSD001
368,1978-08-01,male,SSD001
369,1974-03-27,female,SSD001
370,1948-03-18,female,SSD001
371,1964-07-31,male,SSD001
372,1957-03-29,female,SSD001
373,2009-04-23,female,SSD001
374,1981-11-15,male,SSD001
375,1975-04-25,male,SSD001
376,1982-01-08,male,SSD001
377,1981-12-10,male,SSD001
378,2004-07-10,prefer not to say,SSD001
379,1964-01-18,male,SSD001
380,1945-12-05,female,SSD001
381,1965-06-06,female,SSD001
382,1949-09-30,male,SSD001
383,1952-11-19,male,SSD001
384,1996-02-21,male,SSD001
385,2006-10-04,male,SSD001
386,1951-06-06,female,SSD001
387,1963-01-29,male,SSD001
388,1949-06-12,male,SSD001
389,1962-11-27,male,SSD001
390,1989-10-16,female,SSD001
391,1955-11-20,male,SSD001
392,1973-02-06,female,SSD001
393,1991-09-29,female,SSD001
394,1970-08-10,female,SSD001
395,1998-09-22,male,SSD001
396,1979-01-10,female,SSD001
397,1960-12-15,female,SSD001
398,1947-01-08,female,SSD001
399,2004-06-22,male,SSD001
400,1970-12-07,female,SSD001
401,1975-10-13,male,SSD001
402,1968-06-17,male,SSD001
403,1977-12-19,female,SSD001
404,1979-06-27,male,SSD001
405,1955-04-29,female,SSD001
406,2007-07-21,male,SSD001
407,1989-03-09,male,SSD001
408,1967-10-04,female,SSD001
409,1953-07-19,male,SSD001
410,1983-08-24,female,SSD001
411,1981-11-22,male,SSD001
412,1965-12-16,female,SSD001
413,1950-06-06,female,SSD001
414,1957-09-15,male,SSD001
415,2002-07-11,female,SSD001
416,1955-02-09,female,SSD001
417,1985-03-29,female,SSD001
418,1961-11-10,male,SSD001
419,1958-07-04,female,SSD001
420,1961-08-22,female,SSD001
421,1981-08-24,male,SSD001
422,1976-03-07,male,SSD001
423,1956-04-17,male,SSD001
424,1967-08-02,male,SSD001
425,1984-08-15,male,SSD001
426,1999-12-11,female,SSD001
427,1944-12-01,male,SSD001
428,1993-05-23,female,SSD001
429,1968-11-09,male,SSD001
430,1985-11-17,male,SSD001
431,1966-05-18,male,SSD001
432,1990-03-08,female,SSD001
433,1978-03-08,male,SSD001
434,1993-06-16,male,SSD001
435,1957-08-17,prefer not to say,SSD001
436,1968-09-02,female,SSD001
437,2005-02-09,male,SSD001
438,2008-01-06,male,SSD001
439,1966-05-04,male,SSD001
440,1980-03-14,male,SSD001
441,1998-12-15,female,SSD001
442,1948-10-21,male,SSD001
443,1988-11-06,female,SSD001
444,1995-01-07,female,SSD001
445,2009-12-21,female,SSD001
446,1961-09-14,female,SSD001
447,1969-06-20,male,SSD001
448,1970-09-11,male,SSD001
449,1995-11-21,female,SSD001
450,1982-03-07,female,SSD001
451,1957-04-21,female,SSD001
452,1971-07-10,male,SSD001
453,1976-06-22,female,SSD001
454,1983-02-17,male,SSD001
455,1954-03-12,female,SSD001
456,2002-12-07,male,SSD001
457,2009-01-24,male,SSD001
458,1990-09-02,male,SSD001
459,1982-10-05,female,SSD001
460,1956-12-22,male,SSD001
461,1967-11-29,prefer not to say,SSD001
462,1961-10-03,male,SSD001
463,1997-11-12,female,SSD001
464,1967-09-13,male,SSD001
465,1973-11-18,female,SSD001
466,1997-11-12,female,SSD001
467,1987-03-31,female,SSD001
468,1958-05-06,female,SSD001
469,1944-06-01,male,SSD001
470,1973-01-22,female,SSD001
471,1960-06-01,female,SSD001
472,1967-09-04,female,SSD001
473,1999-08-22,female,SSD001
474,1998-07-12,male,SSD001
475,1999-03-10,female,SSD001
476,2007-12-15,female,SSD001
477,1957-09-27,female,SSD001
478,1951-03-05,female,SSD001
479,1992-03-02,male,SSD001
480,1993-09-09,prefer not to say,SSD001
481,1986-07-13,female,SSD001
482,1981-02-28,male,SSD001
483,1981-02-09,female,SSD001
484,1977-07-18,male,SSD001
485,2007-09-29,male,SSD001
486,1981-02-22,female,SSD001
487,1947-08-30,female,SSD001
488,1947-09-26,female,SSD001
489,2006-11-11,female,SSD001
490,1975-07-18,male,SSD001
491,1944-05-29,female,SSD001
492,2002-12-29,female,SSD001
493,1948-01-18,male,SSD001
494,1976-07-22,female,SSD001
495,1977-03-07,male,SSD001
496,1974-11-26,male,SSD001
497,1997-01-07,female,SSD001
498,1951-04-05,male,SSD001
499,1987-10-21,prefer not to say,SSD001
500,1950-11-12,female,SSD001
501,1976-05-31,male,SSD001
502,1961-08-28,female,SSD001
503,1998-09-04,male,SSD001
504,1989-01-29,female,SSD001
505,1956-03-18,male,SSD001
506,1967-05-29,male,SSD001
507,1971-10-28,male,SSD001
508,1950-07-22,male,SSD001
509,1949-02-21,male,SSD001
510,1996-03-23,female,SSD001
511,1957-05-03,female,SSD001
512,1996-04-10,female,SSD001
513,1990-12-06,male,SSD001
514,1948-01-22,male,SSD001
515,1992-06-08,male,SSD001
516,1948-07-19,female,SSD001
517,1987-12-23,male,SSD001
518,1948-02-23,male,SSD001
519,1972-11-05,male,SSD001
520,1986-11-12,female,SSD001
521,1964-06-12,female,SSD001
522,1981-06-07,female,SSD001
523,1983-11-23,male,SSD001
524,1987-07-16,male,SSD001
525,2005-12-06,female,SSD001
526,1944-11-25,female,SSD001
527,1979-09-08,female,SSD001
528,1989-07-18,male,SSD001
529,2001-11-02,female,SSD001
530,1978-05-06,male,SSD001
531,1994-09-03,male,SSD001
532,1964-06-28,male,SSD001
533,1977-11-23,female,SSD001
534,1991-10-10,female,SSD001
535,1970-05-16,female,SSD001
536,1984-10-26,female,SSD001
537,1960-09-30,female,SSD001
538,1986-11-01,female,SSD001
539,2003-09-29,male,SSD001
540,1948-09-02,female,SSD001
541,1974-01-31,female,SSD001
542,1946-02-25,male,SSD001
543,1966-10-14,male,SSD001
544,1983-01-20,female,SSD001
545,1998-05-29,male,SSD001
546,1959-11-20,male,SSD001
547,1957-10-14,male,SSD001
548,1967-04-25,male,SSD001
549,2008-06-07,female,SSD001
550,1975-02-02,male,SSD001
551,1955-12-13,female,SSD001
552,1976-02-04,female,SSD001
553,1967-11-03,female,SSD001
554,1987-01-27,male,SSD001
555,1991-06-18,male,SSD001
556,1978-12-27,female,SSD001
557,1984-01-24,female,SSD001
558,1951-11-08,female,SSD001
559,1946-01-06,female,SSD001
560,1959-10-18,female,SSD001
561,2007-01-02,male,SSD001
562,1977-04-15,female,SSD001
563,2007-03-25,male,SSD001
564,1947-03-09,female,SSD001
565,1978-02-03,male,SSD001
566,1945-08-22,male,SSD001
567,1992-05-03,female,SSD001
568,1992-05-02,female,SSD001
569,1957-07-22,female,SSD001
570,1984-01-28,female,SSD001
571,1944-11-20,female,SSD001
572,1968-01-10,female,SSD001
573,1944-04-28,male,SSD001
574,1977-03-05,male,SSD001
575,1945-07-29,female,SSD001
576,1958-01-25,male,SSD001
577,1989-12-01,prefer not to say,SSD001
578,1985-12-12,male,SSD001
579,1988-04-30,male,SSD001
580,1945-12-03,male,SSD001
581,2008-11-02,female,SSD001
582,1992-04-15,female,SSD001
583,1957-02-15,female,SSD001
584,1955-06-07,male,SSD001
585,2001-05-12,male,SSD001
586,1946-11-02,female,SSD001
587,1967-02-18,male,SSD001
588,1974-04-25,female,SSD001
589,1986-11-04,male,SSD001
590,1982-09-10,male,SSD001
591,2002-09-19,male,SSD001
592,1958-01-04,female,SSD001
593,1980-07-10,female,SSD001
594,1962-07-20,male,SSD001
595,1998-11-01,prefer not to say,SSD001
596,2005-10-21,male,SSD001
597,1992-05-12,female,SSD001
598,2008-05-12,female,SSD001
599,1954-08-29,female,SSD001
600,1977-07-18,female,SSD001
601,2008-07-13,male,SSD001
602,2007-11-29,male,SSD001
603,1961-04-05,male,SSD001
604,1972-06-27,male,SSD001
605,1949-05-03,male,SSD001
606,1976-01-20,female,SSD001
607,1972-06-09,female,SSD001
608,1997-05-25,male,SSD001
609,1960-01-05,female,SSD001
610,1991-06-23,male,SSD001
611,1994-09-20,female,SSD001
612,1953-11-16,female,SSD001
613,1974-03-21,male,SSD001
614,1986-12-11,male,SSD001
615,1999-07-04,female,SSD001
616,1994-06-24,male,SSD001
617,1950-07-29,female,SSD001
618,2003-02-08,female,SSD001
619,1991-04-09,female,SSD001
620,1995-09-02,male,SSD001
621,1982-03-12,male,SSD001
622,1979-11-13,female,SSD001
623,1948-07-19,male,SSD001
624,1999-02-12,female,SSD001
625,1977-12-30,prefer not to say,SSD001
626,1973-11-03,male,SSD001
627,1961-10-17,female,SSD001
628,2000-04-14,male,SSD001
629,1950-02-10,prefer not to say,SSD001
630,1995-02-20,male,SSD001
631,1948-06-18,male,SSD001
632,2009-02-21,male,SSD001
633,1958-05-03,male,SSD001
634,1993-02-11,male,SSD001
635,1972-01-31,female,SSD001
636,1975-01-04,male,SSD001
637,1950-06-18,male,SSD001
638,1991-12-30,prefer not to say,SSD001
639,2002-03-17,female,SSD001
640,1965-08-01,female,SSD001
641,1953-08-10,male,SSD001
642,1980-03-15,male,SSD001
643,1951-06-15,female,SSD001
644,1988-08-19,male,SSD001
645,1996-05-18,male,SSD001
646,1995-12-25,female,SSD001
647,2009-07-14,female,SSD001
648,1963-06-15,female,SSD001
649,1993-01-09,female,SSD001
650,1970-02-21,female,SSD001
651,1992-02-09,male,SSD001
652,1994-10-02,female,SSD001
653,1991-09-01,male,SSD001
654,1982-08-04,male,SSD001
655,1949-09-24,female,SSD001
656,2005-12-07,female,SSD001
657,1971-11-16,female,SSD001
658,1987-05-26,female,SSD001
659,1974-06-13,female,SSD001
660,1961-04-12,female,SSD001
661,1945-10-07,male,SSD001
662,1963-03-15,female,SSD001
663,1985-01-07,male,SSD001
664,1968-09-24,male,SSD001
665,1981-10-18,female,SSD001
666,1951-05-03,female,SSD001
667,1946-02-15,prefer not to say,SSD001
668,1951-08-26,female,SSD001
669,2002-02-24,male,SSD001
670,1962-02-26,male,SSD001
671,1968-03-24,male,SSD001
672,1999-12-22,male,SSD001
673,1989-07-01,male,SSD001
674,1974-12-23,male,SSD001
675,2009-09-14,female,SSD001
676,1967-08-03,female,SSD001
677,1990-05-26,male,SSD001
678,1972-04-07,male,SSD001
679,1980-03-16,female,SSD001
680,1950-01-21,male,SSD001
681,1982-12-12,female,SSD001
682,1978-12-31,female,SSD001
683,1970-12-22,male,SSD001
684,1984-10-21,female,SSD001
685,1945-10-14,male,SSD001
686,1963-06-21,female,SSD001
687,1984-06-02,female,SSD001
688,1991-04-18,male,SSD001
689,1950-08-14,female,SSD001
690,1949-01-26,female,SSD001
691,2000-01-24,prefer not to say,SSD001
692,1972-04-30,male,SSD001
693,1987-03-01,male,SSD001
694,1969-02-01,male,SSD001
695,1995-12-31,male,SSD001
696,1953-03-23,female,SSD001
697,1991-02-07,male,SSD001
698,1959-05-07,prefer not to say,SSD001
699,1973-11-24,male,SSD001
700,1997-07-31,female,SSD001
701,1975-04-22,male,SSD001
702,1972-08-22,male,SSD001
703,2004-06-14,male,SSD001
704,1973-01-18,female,SSD001
705,2007-10-11,female,SSD001
706,1962-06-08,female,SSD001
707,1944-01-29,male,SSD001
708,2008-05-12,female,SSD001
709,1956-09-01,female,SSD001
710,1979-09-26,female,SSD001
711,1957-03-04,male,SSD001
712,1983-09-01,female,SSD001
713,1957-12-04,male,SSD001
714,1949-06-05,male,SSD001
715,1999-04-30,male,SSD001
716,1990-11-22,female,SSD001
717,2003-08-03,female,SSD001
718,1948-01-10,male,SSD001
719,1951-11-19,female,SSD001
720,1955-12-02,female,SSD001
721,1945-04-01,female,SSD001
722,1985-06-10,female,SSD001
723,2009-09-15,female,SSD001
724,1978-11-05,male,SSD001
725,1970-09-29,male,SSD001
726,1969-06-23,male,SSD001
727,1955-10-14,male,SSD001
728,1944-01-21,male,SSD001
729,1956-03-09,male,SSD001
730,1988-08-12,male,SSD001
731,1986-09-17,male,SSD001
732,1959-03-29,female,SSD001
733,1999-03-10,female,SSD001
734,1953-02-07,male,SSD001
735,1963-04-17,female,SSD001
736,1945-05-07,female,SSD001
737,1956-02-02,male,SSD001
738,1966-12-08,female,SSD001
739,1983-09-22,male,SSD001
740,2000-01-01,male,SSD001
741,1999-05-15,female,SSD001
742,1991-05-08,female,SSD001
743,1996-09-23,male,SSD001
744,1958-10-17,male,SSD001
745,1995-03-04,male,SSD001
746,2006-08-15,prefer not to say,SSD001
747,1954-07-09,male,SSD001
748,2003-07-09,female,SSD001
749,1958-10-19,female,SSD001
750,1960-05-14,female,SSD001
751,1980-02-29,male,SSD001
752,1958-02-21,male,SSD001
753,2001-06-17,female,SSD001
754,2005-02-19,female,SSD001
755,1991-04-28,female,SSD001
756,2000-12-13,female,SSD001
757,1995-08-06,female,SSD001
758,1956-10-24,male,SSD001
759,1969-04-03,female,SSD001
760,2003-07-01,male,SSD001
761,1979-09-01,male,SSD001
762,1963-08-21,female,SSD001
763,1981-11-25,male,SSD001
764,2003-05-06,female,SSD001
765,1949-09-07,male,SSD001
766,1952-01-21,female,SSD001
767,1961-11-19,male,SSD001
768,1969-06-12,female,SSD001
769,1998-11-08,female,SSD001
770,1975-08-04,male,SSD001
771,1968-03-01,male,SSD001
772,1966-04-20,female,SSD001
773,2000-07-07,female,SSD001
774,2003-02-19,female,SSD001
775,1993-12-19,male,SSD001
776,1968-03-11,female,SSD001
777,1956-08-13,male,SSD001
778,1984-11-17,female,SSD001
779,1995-01-02,male,SSD001
780,1970-02-21,female,SSD001
781,1963-10-07,male,SSD001
782,1991-04-21,male,SSD001
783,1955-04-08,female,SSD001
784,1980-04-23,female,SSD001
785,1992-03-04,male,SSD001
786,1976-04-09,male,SSD001
787,1997-05-09,male,SSD001
788,1977-08-27,male,SSD001
789,1944-11-25,female,SSD001
790,1980-10-03,female,SSD001
791,1964-11-15,female,SSD001
792,1979-11-16,female,SSD001
793,2005-01-13,female,SSD001
794,1988-01-12,female,SSD001
795,2005-06-15,female,SSD001
796,2000-07-26,female,SSD001
797,1968-03-20,male,SSD001
798,2005-02-01,female,SSD001
799,1967-10-01,male,SSD001
800,1996-05-09,male,SSD001
801,1995-12-22,female,SSD001
802,1950-11-07,male,SSD001
803,1969-04-19,male,SSD001
804,1981-02-26,male,SSD001
805,1962-01-19,female,SSD001
806,1962-11-30,male,SSD001
807,1988-07-22,female,SSD001
808,1968-11-20,female,SSD001
809,1965-05-02,female,SSD001
810,1999-12-09,female,SSD001
811,1990-08-27,female,SSD001
812,1947-10-18,female,SSD001
813,1978-10-12,female,SSD001
814,2005-02-28,female,SSD001
815,1987-10-25,male,SSD001
816,1960-03-19,male,SSD001
817,1998-10-31,male,SSD001
818,1973-10-05,male,SSD001
819,1961-07-27,male,SSD001
820,1959-01-03,female,SSD001
821,1956-05-17,male,SSD001
822,1990-04-29,male,SSD001
823,1955-03-26,male,SSD001
824,1962-02-26,male,SSD001
825,1992-04-04,male,SSD001
826,2009-05-07,male,SSD001
827,1963-07-09,female,SSD001
828,1978-05-12,male,SSD001
829,1961-04-19,female,SSD001
830,1989-10-19,male,SSD001
831,2003-12-08,male,SSD001
832,2009-07-18,male,SSD001
833,1961-07-26,female,SSD001
834,1976-03-02,male,SSD001
835,1996-09-13,female,SSD001
836,1958-11-12,female,SSD001
837,2009-09-14,male,SSD001
838,1985-03-24,male,SSD001
839,1951-05-15,male,SSD001
840,2001-08-18,female,SSD001
841,2006-11-29,female,SSD001
842,1946-09-16,male,SSD001
843,1989-05-22,female,SSD001
844,1997-08-18,female,SSD001
845,1992-11-27,female,SSD001
846,1975-12-23,male,SSD001
847,1945-08-20,male,SSD001
848,1995-08-24,male,SSD001
849,1966-12-12,male,SSD001
850,1971-09-20,male,SSD001
851,1964-03-23,female,SSD001
852,1964-06-02,male,SSD001
853,1980-12-30,female,SSD001
854,1989-03-09,male,SSD001
855,1961-11-05,female,SSD001
856,1944-01-26,female,SSD001
857,1955-01-18,male,SSD001
858,1990-05-23,female,SSD001
859,1955-04-17,male,SSD001
860,1962-06-05,female,SSD001
861,2000-08-05,male,SSD001
862,1965-11-22,male,SSD001
863,1951-01-11,male,SSD001
864,2007-05-16,male,SSD001
